SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,35 Buttonhook Rd,Chappaqua,NY,10514,649000,4,2.5,Chappaqua,2232,126324,1960,2,Garage,269,Active,,,,2016-07-11,725000,,,http://www.redfin.com/NY/Chappaqua/35-Buttonhook-Rd-10514/home/20090766,"Hudson Gateway Multiple Listing Service, Inc.",4548484,Houlihan Lawrence Inc.,N,Y,41.197641,-73.766795,false
MLS Listing,Single Family Residential,76 Kerry Ln,Chappaqua,NY,10514,1399000,4,5,Chappaqua,3760,262666,1954,2,Garage,284,Active,,,,2016-05-12,1650000,,,http://www.redfin.com/NY/Chappaqua/76-Kerry-Ln-10514/home/20090749,"Hudson Gateway Multiple Listing Service, Inc.",4546334,North Country Sothebys Int Rlt,N,Y,41.189976,-73.76117,false
MLS Listing,Condo/Coop,150 N Bedford Rd Unit 3C,Chappaqua,NY,10514,414900,1,1,Chappaqua,1040,435,1987,1,Garage,294,Active,,,,2016-05-10,429000,2005-09-20,412000,http://www.redfin.com/NY/Chappaqua/150-S-Bedford-Rd-10514/unit-3C/home/101612594,"Hudson Gateway Multiple Listing Service, Inc.",4545170,Houlihan Lawrence Inc.,N,Y,41.156063,-73.767428,false
MLS Listing,Single Family Residential,46 Carolyn Pl,Chappaqua,NY,10514,2295000,5,6.5,Chappaqua,7705,99007,1993,3,Garage,304,Active,,,,2016-06-09,2599000,,,http://www.redfin.com/NY/Chappaqua/46-Carolyn-Pl-10514/home/20086428,"Hudson Gateway Multiple Listing Service, Inc.",4542544,"William Raveis-New York, LLC",N,Y,41.148988,-73.733577,false
MLS Listing,Single Family Residential,1286 Hardscrabble Rd,Chappaqua,NY,10514,2999000,5,6,Chappaqua,8224,184694,2000,3,Garage,305,Active,,,,2016-06-06,3695000,1999-10-15,1250000,http://www.redfin.com/NY/Chappaqua/1286-Hardscrabble-Rd-10514/home/20090713,"Hudson Gateway Multiple Listing Service, Inc.",4543155,Houlihan Lawrence Inc.,N,Y,41.187278,-73.785393,false
MLS Listing,Single Family Residential,651 King St,Chappaqua,NY,10514,3245000,5,5.5,Chappaqua,6577,103672,2015,3,Garage,383,Active,,,,,3245000,,,http://www.redfin.com/NY/Chappaqua/651-King-St-10514/home/104494711,"Hudson Gateway Multiple Listing Service, Inc.",4517077,Houlihan Lawrence Inc.,N,Y,41.1550253,-73.7565258,false
MLS Listing,Single Family Residential,48 Haights Cross Rd,Chappaqua,NY,10514,13750000,6,8.5,Chappaqua,19306,3775780,2004,4,Garage,481,Active,,,,2016-06-06,17900000,,,http://www.redfin.com/NY/Chappaqua/48-Haights-Cross-Rd-10514/home/20011806,"Hudson Gateway Multiple Listing Service, Inc.",4511892,Houlihan Lawrence Inc.,N,Y,41.152357,-73.7471319,false
MLS Listing,Single Family Residential,21 Kitchawan Dr,Chappaqua,NY,10514,925000,4,2.5,Chappaqua,3848,52272,1922,3,Garage,518,Active,,,,2016-03-28,1039000,2001-07-19,769000,http://www.redfin.com/NY/Chappaqua/21-Kitchawan-Dr-10514/home/20087792,"Hudson Gateway Multiple Listing Service, Inc.",4504376,Douglas Elliman Real Estate,N,Y,41.164809,-73.758506,false
MLS Listing,Single Family Residential,275 Bedford Rd,Chappaqua,NY,10514,4275000,7,6.5,Chappaqua,9774,315374,1775,2,Garage,538,Active,,,,2016-06-06,6200000,1997-01-31,1625000,http://www.redfin.com/NY/Chappaqua/275-Bedford-Rd-10514/home/20086003,"Hudson Gateway Multiple Listing Service, Inc.",4446771,Houlihan Lawrence Inc.,N,Y,41.164146,-73.7601059,false
MLS Listing,Single Family Residential,655 King St,Chappaqua,NY,10514,2995000,6,5.5,Chappaqua,6735,87120,2015,3,Garage,581,Active,,,,,2995000,,,http://www.redfin.com/NY/Chappaqua/655-King-St-10514/home/61479622,"Hudson Gateway Multiple Listing Service, Inc.",4445387,Houlihan Lawrence Inc.,N,Y,41.1550065,-73.7564785,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
